the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp
,,1/25/2021,506,positive,1/30/2021 18:20
,,11/28/2020,4861,negative,1/30/2021 18:20
,,12/19/2020,457,positive,1/30/2021 18:20
,,8/9/2020,2916,negative,1/30/2021 18:20
,,3/19/2020,103,positive,1/30/2021 18:20
,,4/29/2020,449,positive,1/30/2021 18:20
,,9/1/2020,4196,negative,1/30/2021 18:20
,,11/19/2020,8325,negative,1/30/2021 18:20
,,7/1/2020,176,positive,1/30/2021 18:20
,,10/9/2020,5475,negative,1/30/2021 18:20
,,5/25/2020,103,positive,1/30/2021 18:20
,,11/13/2020,1016,positive,1/30/2021 18:20
,,7/14/2020,2894,negative,1/30/2021 18:20
,,3/13/2020,12,positive,1/30/2021 18:20
,,8/31/2020,2561,negative,1/30/2021 18:20
,,4/30/2020,418,positive,1/30/2021 18:20
,,1/22/2021,445,positive,1/30/2021 18:20
,,11/3/2020,617,positive,1/30/2021 18:20
,,9/4/2020,92,positive,1/30/2021 18:20
,,4/26/2020,607,negative,1/30/2021 18:20
,,12/13/2020,5783,negative,1/30/2021 18:20
,,8/22/2020,70,positive,1/30/2021 18:20
,,4/7/2020,803,negative,1/30/2021 18:20
,,11/22/2020,7430,negative,1/30/2021 18:20
,,9/15/2020,3864,negative,1/30/2021 18:20
,,5/17/2020,97,positive,1/30/2021 18:20
